
Tenant: Italian Trattoria,,Product Summary Report
,,Report as of 07/22/2026

"Product name","Item count","Category","Available in Recipe","Available in Inventory","Product unit","Last purchased","Cost","Last purchased vendor","Last purchased location"
"Disposables, Round Platter CM 31",1,PURCHASE SUMMARY,false,false,each,04/08/2025 00:00:00,5.5,ConEdison,IT - 1014 Lincoln Rd
"Gen Expenses, Uniforms",2,General expenses,false,false,each,08/15/2025 00:00:00,15.58,MODELINE TEKSTILSAN. IHR.LTD STI,IT - 390 Fifth Ave
"Produce, Quinoa",1,Food - other,false,true,lb,09/09/2025 00:00:00,3.53,ACE ENDICO,IT - 390 Fifth Ave
"White Wine, CANTINA COLLI EUGANEI MOSCATO 2023",1,Wine,false,true,each,09/10/2025 00:00:00,9,Dark Star Wine LLC,IT - 1656 Collins Ave
"White Wine, Cantina Colli Euganei Moscato 2021",1,Wine,false,true,each,09/10/2025 00:00:00,9,Dark Star Imports,IT - 1656 Collins Ave
"Dry Goods, Sundried Tomatoes in Olive Oil",1,Dry Goods,false,false,liter,09/13/2025 00:00:00,12.67,SOGNO TOSCANO,IT - 530 Seventh Ave
"Produce, Cello Radish",1,Food - other,true,true,lb,09/13/2025 00:00:00,1.85,ACE ENDICO,IT - 1656 Collins Ave
"Dry Goods, Moteoola Sugar Free",1,Food - other,false,false,each,09/13/2025 00:00:00,1.12,ACE ENDICO,IT - 1656 Collins Ave
"Protein, Prosciutto Di Parma",1,Meat/ Protein,false,true,lb,09/15/2025 00:00:00,8.8,VIANDER INC,IT - 390 Fifth Ave
"Dry Goods, Molecola",1,Food - other,true,false,each,09/20/2025 00:00:00,1.12,ACE ENDICO,IT - 1656 Collins Ave
"Dry Goods, Tomato Sauce",1,Food - other,true,false,lb,09/20/2025 00:00:00,2.48,ACE ENDICO,IT - 1656 Collins Ave
"Protein, Rovagnati Prosciutto",2,Food - other,false,true,lb,09/20/2025 00:00:00,7.28,ACE ENDICO,IT - 1656 Collins Ave
"NA Bev, Iced Lemon Tea",1,Food - other,false,true,each,09/20/2025 00:00:00,0.81,ACE ENDICO,IT - 1656 Collins Ave
"NA Bev, Lemonade",1,Food - other,false,false,each,09/20/2025 00:00:00,0.93,ACE ENDICO,IT - 1656 Collins Ave
"Dry Goods, Pistachio Halves",1,Dry Goods,false,false,lb,10/06/2025 00:00:00,4.67,VIANDER INC,IT - 1014 Lincoln Rd
"Protein, Citterio Hot Spianata Soppressata",1,Meat/ Protein,false,false,lb,11/17/2025 00:00:00,8.7,VIANDER INC,IT - 1656 Collins Ave
"Baked Goods, Plain Beignet",1,Baked Goods,false,true,each,11/18/2025 00:00:00,1.5,La Provence Miami - BILLPAY,IT - 1656 Collins Ave
"NA Bev, Tonic Mixer",1,Liquor,false,false,liter,11/20/2025 00:00:00,26.88,Southern Glazer,IT - 1014 Lincoln Rd
"Baked Goods, Walnut Muffin",1,Baked Goods,false,true,each,11/26/2025 00:00:00,1.5,La Provence Miami - BILLPAY,IT - 1656 Collins Ave
"Produce, Acai Berry Pack",1,Frozen,false,true,each,11/26/2025 00:00:00,1.25,PRO EX INTERNATIONAL,IT - 1014 Lincoln Rd
